[LINE] Chat history in 塩谷利光言語研究所
Saved on: 04/19/2018, 22:05

Sun, 04/15/2018
17:05	Beyond The しおぴー invited ⁨食べログ⁩ to the group.
15:53	Lightning Salt	美女は野獣
15:53	利光	お前先輩
15:53	Lightning Salt	野獣先輩
15:53	利光	絶世の俺
15:53	Lightning Salt	絶世の美女
16:07	Beyond The しおぴー	私と君の利光
16:07	Lightning Salt	美女と野獣の利光
16:07	利光	利光です
16:07	Lightning Salt	利光です
16:09	利光	利光です
16:09	Lightning Salt	イケメンです
16:09	利光	いいね
16:09	Lightning Salt	いいね
16:16	Beyond The しおぴー	うぇい
16:16	Lightning Salt	うぇい
16:41	利光	返信しろよー
16:41	Lightning Salt	返信しろよー
16:41	Beyond The しおぴー	利光～
16:41	Lightning Salt	イケメン～
16:41	Beyond The しおぴー	わん
16:41	Lightning Salt	わん
16:41	Beyond The しおぴー	受験落ちた
16:41	Lightning Salt	受験落ちた
16:41	利光	昭和
16:41	Lightning Salt	昭和
16:42	利光	天皇
16:42	Lightning Salt	天皇
16:42	利光	あっそう
16:42	Lightning Salt	あっそう
17:18	利光	おい
17:18	Lightning Salt	おい
17:18	利光	こんにちは
17:18	Lightning Salt	こんにちは
17:18	利光	聞こえる？
17:18	Lightning Salt	聞こえる？
17:19	利光	聞こえる？
17:19	Lightning Salt	聞こえる？
17:19	利光	ああ
17:19	Lightning Salt	おい
17:19	利光	あえf
17:19	Lightning Salt	あえf
17:19	利光	aaa
17:19	Lightning Salt	バーベキュ楽しみだね
17:19	利光	aaa
17:19	Lightning Salt	あえf
17:19	利光	aaa
17:19	Lightning Salt	aaa
17:20	利光	awefa
17:20	Lightning Salt	おい
17:21	Beyond The しおぴー	応援団大好き
17:21	Lightning Salt	バーベキュ楽しみだね
17:21	Beyond The しおぴー	利光はイケメン
17:21	Lightning Salt	バーベキュ楽しみだね
17:21	Beyond The しおぴー	就活大変。。。
17:21	Lightning Salt	利光はイケメン
17:22	Beyond The しおぴー	今渋谷のメンズ109の地下のプロントより発信しています
17:22	Lightning Salt	就活大変。。。
17:22	利光	違うよ
17:23	Lightning Salt	違うよ
17:23	Beyond The しおぴー	もう一回わかりやすく説明して
17:23	Lightning Salt	今渋谷のメンズ109の地下のプロントより発信しています
17:23	利光	すいません、よく意味が分かりません
17:23	Lightning Salt	こんにちは
17:23	Beyond The しおぴー	LOVEがあれば大丈夫！！
17:23	Lightning Salt	利光はイケメン
17:25	利光	てst
17:26	利光	test
17:26	利光	test
17:26	Lightning Salt	今渋谷のメンズ109の地下のプロントより発信しています
17:27	利光	あっそう（昭和天皇風に）
17:28	利光	あっそう（昭和天皇風に）
17:28	Lightning Salt	そうだよ
17:28	利光	バーベキュ楽しみだね
17:28	Lightning Salt	こんにちは
17:28	利光	おい
17:28	Lightning Salt	バーベキュ楽しみだね
17:28	利光	応援団大好き
17:28	Lightning Salt	あっそう（昭和天皇風に）
17:28	利光	利光はイケメン
17:28	Lightning Salt	利光はイケメン
17:28	利光	就活大変！
17:28	Lightning Salt	利光はイケメン
17:29	Beyond The しおぴー	今どこにいるの？
17:29	Lightning Salt	こんにちは
17:29	Beyond The しおぴー	わからんねえ
17:29	Lightning Salt	わからんねえ
17:29	利光	渋谷メンズ１０９の地下のプロントより発信しています
17:29	Lightning Salt	おい
17:29	利光	違うよ！
17:29	Lightning Salt	わからんねえ
17:29	利光	もう一回分かりやすく説明して
17:29	Lightning Salt	おい
17:29	Beyond The しおぴー	そういう話は英語でならわかる
17:29	Lightning Salt	利光はイケメン
17:29	Beyond The しおぴー	（笑）
17:29	利光	LOVEがあれば大丈夫！
17:29	Lightning Salt	今どこにいるの？
17:29	Lightning Salt	もう一回分かりやすく説明して
17:29	Beyond The しおぴー	汗汗
17:29	Lightning Salt	渋谷メンズ１０９の地下のプロントより発信しています
17:38	Beyond The しおぴー	WIFI切れそう。。。
17:38	Lightning Salt	おい
17:38	Beyond The しおぴー	平仮名で書いてほしい
17:38	Lightning Salt	こんにちは
17:46	Beyond The しおぴー	今から夜ご飯食べるわ
17:46	Lightning Salt	応援団大好き
17:46	Beyond The しおぴー	ハンバーグ食べたい
17:46	Lightning Salt	汗汗
18:03	Beyond The しおぴー	あ
18:03	Lightning Salt	あ
18:03	Beyond The しおぴー	いま何しているの？
18:03	Lightning Salt	おい
18:03	利光	使えねえな
18:04	Lightning Salt	あ？
18:04	Beyond The しおぴー	ご飯今日食べた？
18:04	Lightning Salt	あ？
18:26	利光	[Sticker]
18:29	Beyond The しおぴー	パソコン閉じてみた
18:30	Beyond The しおぴー	スリーブするんだな
18:30	利光	聞こえてんのか？
18:30	利光	既読だけはつく
18:30	Beyond The しおぴー	開いた、ログイン前
18:30	Lightning Salt	いま何しているの？
18:31	Beyond The しおぴー	返事来るな
18:31	Lightning Salt	へー
18:31	利光	おおー！
18:31	Lightning Salt	おい
18:31	Beyond The しおぴー	ログ引き継いでいるのかな
18:31	Lightning Salt	おい
18:31	利光	そのはず
18:31	Beyond The しおぴー	電車乗ったらパイソン見るわ
18:31	Lightning Salt	うざい
18:31	Lightning Salt	ログ引き継いでいるのかな
18:31	Beyond The しおぴー	あー
18:31	Lightning Salt	いじめないで
18:31	Beyond The しおぴー	引き継いでいる
18:31	Lightning Salt	今どこにいるの？
18:31	利光	渋谷
18:31	Lightning Salt	ばーか
18:32	利光	ごめんなさい
18:32	Beyond The しおぴー	ひでえ笑笑
18:32	Lightning Salt	残念でした
18:32	Lightning Salt	ご飯今日食べた？
18:32	利光	はい
18:32	Beyond The しおぴー	くったよ
18:32	Lightning Salt	平仮名で書いてほしい
18:32	Lightning Salt	かわいそう笑笑
18:32	Beyond The しおぴー	ひらがなだわ
18:32	Lightning Salt	育成中だからかわあいがってあげて
18:32	利光	りんな的な感性を感じる
18:32	Lightning Salt	開いた、ログイン前
18:32	Beyond The しおぴー	あっ、これも登録されてしまったか
18:32	Lightning Salt	応援団大好き
18:32	Beyond The しおぴー	おれも
18:32	利光	うん笑
18:32	Lightning Salt	そのはず
18:32	Lightning Salt	なにこれ笑
18:32	Beyond The しおぴー	結構会話になるな
18:33	Lightning Salt	なにこれ笑
18:33	利光	塩谷地下鉄？
18:33	Lightning Salt	（笑）
18:33	Beyond The しおぴー	そうよ
18:33	Lightning Salt	くっそどうでもいい笑
18:33	利光	地下鉄サーバーは新時代
18:33	Lightning Salt	りんな的な感性を感じる
18:33	Beyond The しおぴー	そうだな
18:33	Lightning Salt	こんなんあるの
18:33	利光	あっそう
18:34	利光	あれ
18:34	利光	消した？
18:34	Beyond The しおぴー	いま退出させた
18:34	Beyond The しおぴー	パソコンも閉じた
18:34	利光	おけ
20:43	利光	2人にはボットと感づかれてた？
20:48	利光	[Photo]
20:49	利光	友達3人になってる
20:57	Beyond The しおぴー	やんくみはスタンプだけ返された（笑）
20:57	Lightning Salt	そうだね！
20:58	Beyond The しおぴー	あれっ
20:58	Lightning Salt	ごめんなさい
20:58	Beyond The しおぴー	稼働している（笑）
20:58	Lightning Salt	世界の国からこんにちは
20:58	Beyond The しおぴー	一回も切っていないからか
20:58	Lightning Salt	はい
21:00	利光	頭いいんだね
21:00	Lightning Salt	あ？
21:00	利光	スイマセン
21:00	Lightning Salt	世界の国からこんにちは
21:00	利光	キタ
21:00	Lightning Salt	あほ
21:00	利光	しょぼん
21:00	Lightning Salt	こんにちは
21:01	利光	ばたは？
21:01	Lightning Salt	かわいそう笑笑
21:05	Beyond The しおぴー	おはー
21:05	Lightning Salt	おれも
21:05	Beyond The しおぴー	PCワイファイに切り替えた
21:05	Lightning Salt	応援団大好き
21:07	利光	しばたは？
21:07	Lightning Salt	※Lightning saltさんに話しかける時は、個人チャットの時も変なことは言わないようにしてください。
21:32	Beyond The しおぴー	docomoからオフィスのWIFIに変えたのに、
21:32	Lightning Salt	なにがどうなってるのwww
21:32	Beyond The しおぴー	動き続けている
21:32	Lightning Salt	そうだな
21:35	利光	で、しばたまきはどうだったんだい
21:35	Lightning Salt	で、しばたまきはどうだったんだい
21:35	利光	奇跡だ
21:35	Lightning Salt	バーベキュ楽しみだね
21:35	利光	リセットしたのか
21:36	Lightning Salt	りんな的な感性を感じる
21:36	利光	違うな
21:36	Lightning Salt	なにこれ笑
21:36	Beyond The しおぴー	しばたからは未だ返信ない
21:36	Lightning Salt	わからんねえ
21:37	Beyond The しおぴー	このボット天才だな
21:37	Lightning Salt	いじめないで
21:38	利光	ボットを作り始めて4日でチューリングテストをパスしてたらすごいな
21:38	Lightning Salt	なにこれ笑
21:46	Beyond The しおぴー	このボット今晩俺が寝るまでフル稼働してくれる
21:46	Lightning Salt	使えねえな
21:46	Beyond The しおぴー	自虐かよ
21:46	Lightning Salt	はい
21:47	Beyond The しおぴー	会話になっている。。
21:47	Lightning Salt	https://www.google.co.jp/url?sa=t&rct=j&q=&esrc=s&source=video&cd=1&cad=rja&uact=8&ved=0ahUKEwjuwMza-cXaAhVCfrwKHcznAngQtwIIKDAA&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DmF6P_EaDDmk&usg=AOvVaw3KHXVpBNzKSDvh5tKr4Yvd
21:47	Beyond The しおぴー	[Sticker]
21:49	利光	ランダムでもこんなにいい感じになるということは、ちょっと機械学習させてやるだけで相当リアルになるんじゃないかと思ってるんですよ
21:49	Lightning Salt	やぁ
21:49	利光	やぁ君、頭良くなりたくないか？
21:49	Lightning Salt	そうよ
21:50	Beyond The しおぴー	機械学習しよう
21:50	Lightning Salt	汗汗
21:50	Beyond The しおぴー	やる気ないな
21:50	利光	怖がらないで
21:50	Lightning Salt	渋谷
21:50	Lightning Salt	応援団大好き
21:51	利光	GitHubに、今日の会話のログ上げとくわ (非公開レポジトリなので外からは見れない)
21:51	Lightning Salt	このボット今晩俺が寝るまでフル稼働してくれる
21:52	Beyond The しおぴー	ありがとう
21:52	Lightning Salt	おはー
21:52	Beyond The しおぴー	時差ぼけしている
21:52	Lightning Salt	なるほどね
21:52	Beyond The しおぴー	気づいていなかったのね
21:52	Lightning Salt	開いた、ログイン前
21:53	Beyond The しおぴー	ボロが出てきた。。。
21:53	Lightning Salt	頭いいんだね
21:53	Beyond The しおぴー	あー宿題やらないと
21:53	Lightning Salt	そうだよ
21:54	Beyond The しおぴー	頑張ります
21:54	Beyond The しおぴー	あっ
21:55	Beyond The しおぴー	パイソンをスクロールしたら？止まった
22:00	Beyond The しおぴー	うごけー
22:01	利光	あらら
22:01	利光	とりあえず最新のログをコピーしといて！
22:02	Beyond The しおぴー	おけ
22:02	Lightning Salt	へー
22:02	Beyond The しおぴー	動いた（笑）
22:02	Lightning Salt	時差ぼけしている
22:02	Beyond The しおぴー	そうだったのね
22:02	Lightning Salt	バーベキュ楽しみだね
